# From the camb file : CAMB/camb/PRIMAT_Yp_DH_ErrorMC_2021.dat
# adapted to class : we keep only three columns:  ombh2       DeltaN          Yp  
# below is the full comment from the camb file. 
#
# BBN prediction of the primordial abundances (He-4 and Deuterium) as a function of
# 1)the baryon density $\Omega_b h^2$ and 
# 2)the number of extra relativistic degrees of freedom $\Delta N$
# 
# If $\Delta N=0$, then $N_{eff} = 3.0440$ because of QED effects and Incomplete Neurino decoupling (arXiv:2008.01074).
#
# Computation performed with PRIMAT (by Cyril Pitrou 2018-2021 http://www2.iap.fr/users/pitrou/primat.htm)
# Details on arXiv:1801.08023 and update arXiv:2011.11320
# Last update 16/02/2021 (notably including the LUNA rate for the d(p,g)He3 reaction)
#
# Neutron Decay rate $\tau_n$ is 879.4s (+-0.6s), following Particle Data Group 2020
# CMB temperature is 2.7255 K (without taking into account a possible uncertainty)
#
# He4 is given either as $Y^BBN_P = 4 Y_{He4}$ where $Y_{He4}$ is the ratio of He-4 number density to baryons number density.
# He4 is also provided as $Y_P = Y_{He4} * m_ {He4} /[Y_{He4} m_{He4} + (1 - 4*Y_{He4}) m_H1]$ 
# where $m_{He4}=4.0026032541$ and $m_{H1}=1.00782503223$ are atomic masses. 
#
# Deuterium is given as the ratio of its number density to the H1 number density and noted $D/H$.
# 
# eta10 is $10^10 eta_0$ where $eta_0$ is the density ratio between baryons and photons AT THE END OF BBN.
# Hence eta10 ignores the extra production of He4 by stars after BBN. Whenever possible, working with $\Omega_b h^2$ is better. 
#
# Errors are computed with a Monte-Carlo method on nuclear rates and also on tau_n. 
# See PRIMAT paper (2018) for details. 
# 
#  ombh2       DeltaN          Yp        

52 25
3.799999999999999906e-02 -2.500000000000000000e+00 2.090430000000000066e-01
3.899999999999999994e-02 -2.500000000000000000e+00 2.092779999999999918e-01
4.000000000000000083e-02 -2.500000000000000000e+00 2.095079999999999998e-01
5.000000000000000104e-03 -2.000000000000000000e+00 1.966219999999999912e-01
6.000000000000000125e-03 -2.000000000000000000e+00 1.993590000000000084e-01
7.000000000000000146e-03 -2.000000000000000000e+00 2.014600000000000002e-01
8.000000000000000167e-03 -2.000000000000000000e+00 2.031570000000000042e-01
8.999999999999999320e-03 -2.000000000000000000e+00 2.045760000000000078e-01
1.000000000000000021e-02 -2.000000000000000000e+00 2.057940000000000047e-01
1.099999999999999936e-02 -2.000000000000000000e+00 2.068589999999999873e-01
1.200000000000000025e-02 -2.000000000000000000e+00 2.078059999999999907e-01
1.299999999999999940e-02 -2.000000000000000000e+00 2.086580000000000101e-01
1.400000000000000029e-02 -2.000000000000000000e+00 2.094320000000000070e-01
1.499999999999999944e-02 -2.000000000000000000e+00 2.101409999999999945e-01
1.600000000000000033e-02 -2.000000000000000000e+00 2.107950000000000101e-01
1.700000000000000122e-02 -2.000000000000000000e+00 2.114020000000000066e-01
1.799999999999999864e-02 -2.000000000000000000e+00 2.119689999999999908e-01
1.899999999999999953e-02 -2.000000000000000000e+00 2.124989999999999934e-01
2.000000000000000042e-02 -2.000000000000000000e+00 2.129989999999999939e-01
2.019999999999999921e-02 -2.000000000000000000e+00 2.130950000000000066e-01
2.040000000000000147e-02 -2.000000000000000000e+00 2.131909999999999916e-01
2.060000000000000026e-02 -2.000000000000000000e+00 2.132850000000000024e-01
2.079999999999999905e-02 -2.000000000000000000e+00 2.133780000000000121e-01
2.100000000000000130e-02 -2.000000000000000000e+00 2.134709999999999941e-01
2.120000000000000009e-02 -2.000000000000000000e+00 2.135620000000000018e-01
2.139999999999999888e-02 -2.000000000000000000e+00 2.136520000000000086e-01
2.160000000000000114e-02 -2.000000000000000000e+00 2.137419999999999876e-01
2.179999999999999993e-02 -2.000000000000000000e+00 2.138299999999999923e-01
2.199999999999999872e-02 -2.000000000000000000e+00 2.139169999999999960e-01
2.220000000000000098e-02 -2.000000000000000000e+00 2.140039999999999998e-01
2.239999999999999977e-02 -2.000000000000000000e+00 2.140900000000000025e-01
2.259999999999999856e-02 -2.000000000000000000e+00 2.141750000000000043e-01
2.280000000000000082e-02 -2.000000000000000000e+00 2.142590000000000050e-01
2.299999999999999961e-02 -2.000000000000000000e+00 2.143420000000000047e-01
2.319999999999999840e-02 -2.000000000000000000e+00 2.144240000000000035e-01
2.340000000000000066e-02 -2.000000000000000000e+00 2.145060000000000022e-01
2.359999999999999945e-02 -2.000000000000000000e+00 2.145870000000000000e-01
2.380000000000000171e-02 -2.000000000000000000e+00 2.146669999999999967e-01
2.400000000000000050e-02 -2.000000000000000000e+00 2.147459999999999924e-01
2.500000000000000139e-02 -2.000000000000000000e+00 2.151319999999999899e-01
2.599999999999999881e-02 -2.000000000000000000e+00 2.154999999999999971e-01
2.699999999999999969e-02 -2.000000000000000000e+00 2.158539999999999903e-01
2.800000000000000058e-02 -2.000000000000000000e+00 2.161929999999999963e-01
2.900000000000000147e-02 -2.000000000000000000e+00 2.165189999999999892e-01
2.999999999999999889e-02 -2.000000000000000000e+00 2.168339999999999990e-01
3.099999999999999978e-02 -2.000000000000000000e+00 2.171369999999999967e-01
3.200000000000000067e-02 -2.000000000000000000e+00 2.174290000000000112e-01
3.300000000000000155e-02 -2.000000000000000000e+00 2.177119999999999889e-01
3.400000000000000244e-02 -2.000000000000000000e+00 2.179850000000000121e-01
3.500000000000000333e-02 -2.000000000000000000e+00 2.182499999999999996e-01
3.599999999999999728e-02 -2.000000000000000000e+00 2.185070000000000068e-01
3.699999999999999817e-02 -2.000000000000000000e+00 2.187570000000000070e-01
3.799999999999999906e-02 -2.000000000000000000e+00 2.189989999999999992e-01
3.899999999999999994e-02 -2.000000000000000000e+00 2.192350000000000132e-01
