57  4.1093  13.085  55.607  228.38  639.08  1230.9  41.68  177.26  729.11  2045  3954.9  754.9  3113.5  8769.9  17087  12912  36680  72540  105590  213720  450420  
58  4.1178  13.111  55.711  228.75  639.82  1231.3  41.76  177.58  730.22  2047.2  3955.7  756.15  3117.8  8778  17088  12926  36703  72521  105610  213550  449650  
59  4.1251  13.133  55.799  229.05  640.38  1231.3  41.829  177.85  731.13  2048.8  3955.4  757.2  3121.3  8783.7  17084  12937  36716  72483  105590  213330  448770  
60  4.1314  13.152  55.872  229.29  640.77  1231  41.886  178.07  731.84  2049.9  3954.2  758.04  3123.9  8787.2  17076  12944  36720  72426  105560  213060  447780  
61  4.1365  13.168  55.931  229.47  640.99  1230.4  41.933  178.24  732.37  2050.5  3951.9  758.69  3125.7  8788.4  17064  12948  36715  72352  105490  212740  446680  
62  4.1406  13.18  55.976  229.59  641.06  1229.5  41.969  178.38  732.71  2050.6  3948.7  759.14  3126.7  8787.4  17047  12948  36700  72260  105400  212360  445480  
63  4.1437  13.189  56.007  229.66  640.97  1228.3  41.995  178.46  732.87  2050.1  3944.5  759.41  3127  8784.3  17027  12946  36677  72152  105280  211940  444190  
64  4.1458  13.195  56.025  229.67  640.73  1226.8  42.01  178.51  732.86  2049.2  3939.5  759.5  3126.6  8779.2  17002  12941  36645  72027  105140  211470  442800  
65  4.147  13.197  56.029  229.63  640.34  1225.1  42.016  178.51  732.68  2047.8  3933.5  759.42  3125.4  8772.1  16974  12932  36605  71887  104980  210960  441320  
66  4.1472  13.197  56.021  229.54  639.82  1223  42.012  178.47  732.33  2046  3926.8  759.16  3123.5  8763  16943  12921  36557  71732  104790  210400  439750  
67  4.1465  13.194  56.001  229.4  639.15  1220.8  42  178.39  731.83  2043.7  3919.2  758.74  3121  8752.1  16908  12907  36501  71562  104590  209800  438100  
68  4.1449  13.188  55.969  229.21  638.35  1218.3  41.978  178.28  731.17  2041  3910.8  758.16  3117.7  8739.4  16869  12890  36438  71378  104360  209160  436380  
69  4.1424  13.179  55.925  228.97  637.43  1215.5  41.947  178.13  730.37  2037.9  3901.7  757.42  3113.9  8724.9  16827  12871  36367  71181  104110  208480  434570  
70  4.1391  13.168  55.87  228.69  636.38  1212.6  41.909  177.94  729.42  2034.4  3891.9  756.53  3109.5  8708.8  16783  12849  36290  70971  103840  207770  432700  
71  4.135  13.154  55.805  228.36  635.21  1209.4  41.862  177.72  728.33  2030.5  3881.4  755.5  3104.4  8691  16735  12825  36206  70748  103560  207020  430760  
72  4.1301  13.138  55.729  228  633.93  1206  41.807  177.47  727.11  2026.3  3870.2  754.33  3098.8  8671.7  16684  12799  36116  70514  103250  206240  428760  
73  4.1245  13.119  55.642  227.59  632.53  1202.4  41.744  177.18  725.75  2021.7  3858.4  753.02  3092.7  8650.9  16631  12770  36020  70269  102930  205430  426700  
74  4.1181  13.098  55.547  227.14  631.04  1198.6  41.675  176.86  724.28  2016.7  3845.9  751.59  3086  8628.7  16575  12739  35918  70014  102600  204590  424580  
75  4.1111  13.075  55.442  226.65  629.44  1194.6  41.598  176.52  722.68  2011.5  3832.9  750.03  3078.8  8605.1  16517  12706  35810  69748  102240  203720  422410  
76  4.1034  13.049  55.328  226.13  627.74  1190.5  41.515  176.14  720.98  2005.9  3819.4  748.35  3071.2  8580.3  16456  12672  35698  69473  101880  202820  420200  
77  4.095  13.022  55.205  225.58  625.95  1186.2  41.425  175.74  719.16  2000.1  3805.4  746.56  3063.1  8554.2  16394  12635  35580  69189  101500  201910  417940  
78  4.086  12.993  55.074  224.99  624.08  1181.8  41.329  175.32  717.24  1994  3790.8  744.65  3054.5  8526.9  16329  12597  35457  68897  101110  200960  415630  
79  4.0765  12.961  54.936  224.37  622.12  1177.2  41.227  174.86  715.22  1987.6  3775.8  742.65  3045.6  8498.5  16262  12556  35330  68597  100700  200000  413300  
80  4.0663  12.928  54.79  223.72  620.08  1172.5  41.12  174.39  713.11  1980.9  3760.4  740.54  3036.2  8469.1  16194  12515  35199  68290  100290  199020  410930  
81  4.0557  12.894  54.636  223.05  617.97  1167.6  41.007  173.89  710.9  1974.1  3744.6  738.34  3026.5  8438.7  16124  12472  35064  67976  99860  198020  408530  
82  4.0445  12.857  54.477  222.34  615.79  1162.6  40.889  173.37  708.62  1967  3728.5  736.05  3016.4  8407.4  16052  12427  34925  67656  99425  197000  406110  
83  4.0328  12.82  54.31  221.61  613.54  1157.6  40.766  172.83  706.25  1959.7  3712  733.68  3006  8375.2  15979  12381  34783  67331  98981  195970  403660  
84  4.0207  12.78  54.138  220.86  611.24  1152.4  40.639  172.27  703.81  1952.2  3695.2  731.23  2995.3  8342.2  15905  12334  34637  67001  98528  194930  401200  
85  4.0082  12.74  53.961  220.09  608.87  1147.2  40.508  171.7  701.31  1944.5  3678.1  728.71  2984.3  8308.5  15829  12286  34489  66666  98069  193880  398730  
86  3.9952  12.698  53.778  219.29  606.46  1141.8  40.372  171.11  698.73  1936.7  3660.8  726.12  2973  8274.1  15753  12237  34338  66328  97603  192820  396250  
