# [0]-l  [1]-gg_1h  [2]-gg_2h  [3]-gy_1h  [4]-gy_2h
3.540000000000000000e+02 1.088237451040136471e-06 1.745864922982632868e-06 3.804329359767605385e-13 2.342316552035583634e-13
3.770000000000000000e+02 1.085813305612719842e-06 1.523365967000442148e-06 3.718427683562618686e-13 2.018793957267442388e-13
4.020000000000000000e+02 1.083037342673843067e-06 1.324041413440374898e-06 3.628357475182431046e-13 1.731429061484805878e-13
4.280000000000000000e+02 1.079994767644861435e-06 1.153362780574484981e-06 3.538005683669537237e-13 1.487601166711296564e-13
4.560000000000000000e+02 1.076543711567194482e-06 1.002011402223246294e-06 3.444167549799518717e-13 1.273499575219315128e-13
4.850000000000000000e+02 1.072782182357414528e-06 8.728934109654745815e-07 3.350460183590257377e-13 1.092750591048433146e-13
5.170000000000000000e+02 1.068415405592583921e-06 7.557859716753124386e-07 3.250852861269552444e-13 9.306185986314909441e-14
5.500000000000000000e+02 1.063680987649866587e-06 6.567052769587706470e-07 3.151995545478076580e-13 7.950389176827618144e-14
5.860000000000000000e+02 1.058256907201962252e-06 5.680682195163431604e-07 3.048306038750214024e-13 6.752399699624570886e-14
6.240000000000000000e+02 1.052248760295804357e-06 4.915489268121774350e-07 2.943238347822001988e-13 5.731862105558627387e-14
6.650000000000000000e+02 1.045454618536016323e-06 4.241206678875027517e-07 2.834586807920017290e-13 4.845322066254766293e-14
7.080000000000000000e+02 1.037998714544667647e-06 3.664107852681507776e-07 2.725548497323932965e-13 4.098020349427605421e-14
7.530000000000000000e+02 1.029854436904790825e-06 3.170171116170452029e-07 2.616485341374158586e-13 3.468496573991289952e-14
8.020000000000000000e+02 1.020614916352754200e-06 2.731008324469739171e-07 2.503234846751395668e-13 2.918160733625793986e-14
8.540000000000000000e+02 1.010418395086697653e-06 2.351616487730269295e-07 2.388937578677728237e-13 2.451253311845667192e-14
9.100000000000000000e+02 9.990268817045864451e-07 2.019599067724123288e-07 2.272205606241666051e-13 2.050447685061994174e-14
9.690000000000000000e+02 9.866120513888709139e-07 1.735629012095299730e-07 2.155903012185368449e-13 1.714585161168471545e-14
1.031000000000000000e+03 9.731644688510619870e-07 1.493016612590663871e-07 2.040592104282167661e-13 1.433720336168950708e-14
1.098000000000000000e+03 9.582360386294065297e-07 1.280105356146866759e-07 1.923448701647398655e-13 1.192768585795055625e-14
1.170000000000000000e+03 9.418104425635942324e-07 1.094942355578782327e-07 1.805612502982197191e-13 9.882475529907823595e-15
1.245000000000000000e+03 9.243731061504809640e-07 9.387910649543689351e-08 1.691130513527100713e-13 8.201175514325586736e-15
1.326000000000000000e+03 9.052740870961187131e-07 8.022721139286285958e-08 1.576252467553002288e-13 6.770167814748361774e-15
1.412000000000000000e+03 8.847915388514871670e-07 6.851927983666892930e-08 1.463517522690420240e-13 5.577382219831546953e-15
1.503000000000000000e+03 8.630238283217905404e-07 5.851245657091219185e-08 1.353738537196384385e-13 4.587916304715099419e-15
1.601000000000000000e+03 8.396204349825699545e-07 4.982097232875604991e-08 1.245568508326842621e-13 3.755186343414299704e-15
